,id,name,country,latitude,longitude,population
947,948,Banghazi,LBY,32.11673,20.06672,1180000
951,952,Gonder,ETH,12.61004,37.46003,156230
965,966,Brazzaville,COG,-4.25919,15.28469,1355000
966,967,Conakry,GIN,9.53152,-13.68024,1494000
967,968,Yamoussoukro,CIV,6.81838,-5.2755,206499
1002,1003,Ndele,CAF,8.40914,20.65304,11764
1004,1005,Obo,CAF,5.39999,26.50003,12887
1017,1018,Bangui,CAF,4.36664,18.55829,831925
1018,1019,Maroua,CMR,10.59557,14.3247,319941
1019,1020,Yaounde,CMR,3.8667,11.51665,1611000
1025,1026,Menongue,AGO,-14.66661,17.69999,13030
1026,1027,Huambo,AGO,-12.74999,15.76001,1100000
1029,1030,Oran,DZA,35.71,-0.61997,798000
1030,1031,Cotonou,BEN,6.40001,2.51999,762000
1031,1032,Tamanrasset,DZA,22.785,5.5228,76000
1032,1033,Ghardaia,DZA,32.48999,3.67,125480
1036,1037,Gaborone,BWA,-24.64631,25.91195,208411
1045,1046,Ouagadougou,BFA,12.37032,-1.52472,1149000
1053,1054,Victoria,SYC,-4.61663,55.44999,33576
1054,1055,Sao Tome,STP,0.3334,6.73333,88219
1059,1060,Praia,CPV,14.9167,-23.51669,113364
1096,1097,Durban,ZAF,-29.86501,30.98001,2729000
1100,1101,Kano,NGA,11.99998,8.52004,3140000
1103,1104,Dar es Salaam,TZA,-6.80001,39.26834,2930000
1106,1107,Monrovia,LBR,6.31056,-10.80475,1041000
1123,1124,Alexandria,EGY,31.20002,29.95,4165000
1147,1148,Accra,GHA,5.55003,-0.21672,2121000
1152,1153,Tripoli,LBY,32.8925,13.18001,2189000
1163,1164,Abidjan,CIV,5.32,-4.04005,3802000
1176,1177,Luanda,AGO,-8.83829,13.23443,5172900
1177,1178,Algiers,DZA,36.76306,3.05055,3354000
1196,1197,Dakar,SEN,14.71583,-17.47313,2604000
1197,1198,Johannesburg,ZAF,-26.17004,28.03001,3435000
1199,1200,Casablanca,MAR,33.59998,-7.61637,3181000
1208,1209,Kinshasa,COD,-4.32972,15.31497,7843000
1213,1214,Addis Ababa,ETH,9.03331,38.7,3100000
1228,1229,Cape Town,ZAF,-33.92001,18.43499,3215000
1231,1232,Lagos,NGA,6.44326,3.39153,9466000
1234,1235,Nairobi,KEN,-1.28335,36.81666,3010000
1237,1238,Cairo,EGY,30.04996,31.24997,11893000
